CLASS,survived,sex,age
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,male,Child
2nd,Yes,female,Child
2nd,Yes,female,Child
2nd,Yes,female,Adult
2nd,Yes,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,male,Child
2nd,Yes,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,female,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,male,Adult
2nd,Yes,female,Child
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,female,Adult
2nd,No,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,male,Child
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,male,Child
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,male,Child
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Child
2nd,No,male,Adult
2nd,Yes,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Child
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,male,Adult
2nd,No,male,Adult
2nd,No,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Child
2nd,Yes,female,Child
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,female,Adult
2nd,No,male,Adult
2nd,Yes,male,Child
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,Yes,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,male,Child
2nd,Yes,male,Child
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,male,Adult
2nd,Yes,male,Adult
2nd,No,male,Adult
2nd,Yes,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Child
2nd,Yes,female,Child
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,male,Child
2nd,Yes,male,Child
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Child
2nd,Yes,female,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,Yes,male,Child
2nd,Yes,female,Child
2nd,Yes,female,Adult
2nd,Yes,female,Child
2nd,Yes,female,Child
2nd,No,male,Adult
2nd,Yes,female,Adult
2nd,No,male,Adult
2nd,No,male,Adult
2nd,Yes,male,Adult
2nd,Yes,male,Adult
2nd,Yes,female,Adult
2nd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,Yes,male,Adult
3rd,Yes,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,Yes,male,Child
3rd,Yes,female,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Child
3rd,No,female,Child
3rd,No,female,Child
3rd,Yes,female,Adult
3rd,No,female,Adult
3rd,No,female,Child
3rd,No,female,Child
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Child
3rd,No,male,Child
3rd,Yes,male,Child
3rd,No,male,Adult
3rd,Yes,female,Child
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Child
3rd,Yes,female,Child
3rd,Yes,female,Child
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Child
3rd,No,female,Child
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Child
3rd,Yes,male,Child
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,male,Adult
3rd,No,male,Child
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,male,Adult
3rd,Yes,female,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Child
3rd,Yes,female,Child
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,Yes,female,Adult
3rd,No,female,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Child
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,female,Adult
3rd,No,female,Child
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,Yes,male,Child
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Child
3rd,No,male,Child
3rd,No,male,Child
3rd,No,female,Child
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Child
3rd,Yes,female,Adult
3rd,Yes,male,Adult
3rd,Yes,male,Adult
3rd,No,female,Adult
3rd,Yes,female,Adult
3rd,No,female,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,Yes,female,Child
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Child
3rd,Yes,female,Child
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Child
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Child
3rd,Yes,male,Adult
3rd,Yes,female,Adult
3rd,No,female,Child
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,female,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,Yes,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,Yes,male,Child
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,Yes,male,Adult
3rd,Yes,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Child
3rd,Yes,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,Yes,male,Child
3rd,Yes,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,Yes,male,Adult
3rd,Yes,female,Adult
3rd,Yes,male,Child
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,female,Adult
3rd,No,male,Child
3rd,No,male,Child
3rd,No,female,Child
3rd,No,female,Child
3rd,No,female,Adult
3rd,No,male,Child
3rd,No,male,Child
3rd,No,male,Child
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Child
3rd,No,female,Child
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
